field_id,year,crop_code,crop_name,dominant_pct,total_pixels
FIELD_0005,2020,1,Corn,51.2,1682
FIELD_0005,2021,5,Soybeans,46.4,1682
FIELD_0005,2022,1,Corn,51.8,1682
FIELD_0005,2023,5,Soybeans,36.8,1682
FIELD_0006,2020,1,Corn,46.5,1799
FIELD_0006,2021,5,Soybeans,50.8,1799
FIELD_0006,2022,1,Corn,49.7,1799
FIELD_0006,2023,5,Soybeans,47.2,1799
FIELD_0007,2020,141,Grassland/Herbaceous,45.7,414
FIELD_0007,2021,141,Grassland/Herbaceous,38.9,414
FIELD_0007,2022,141,Grassland/Herbaceous,39.1,414
FIELD_0007,2023,141,Grassland/Herbaceous,37.0,414
FIELD_0009,2020,141,Grassland/Herbaceous,57.5,2116
FIELD_0009,2021,141,Grassland/Herbaceous,62.7,2116
FIELD_0009,2022,141,Grassland/Herbaceous,62.1,2116
FIELD_0009,2023,141,Grassland/Herbaceous,62.5,2116
FIELD_0010,2020,1,Corn,40.4,4044
FIELD_0010,2021,5,Soybeans,50.8,4044
FIELD_0010,2022,5,Soybeans,36.8,4044
FIELD_0010,2023,5,Soybeans,51.9,4044
FIELD_0015,2020,1,Corn,35.7,1103
FIELD_0015,2021,5,Soybeans,45.6,1103
FIELD_0015,2022,5,Soybeans,57.7,1103
FIELD_0015,2023,26,Code_26,59.7,1103
FIELD_0016,2020,1,Corn,45.9,3461
FIELD_0016,2021,1,Corn,44.1,3461
FIELD_0016,2022,5,Soybeans,42.2,3461
FIELD_0016,2023,1,Corn,53.9,3461
FIELD_0017,2020,5,Soybeans,31.0,3839
FIELD_0017,2021,1,Corn,31.5,3839
FIELD_0017,2022,5,Soybeans,29.1,3839
FIELD_0017,2023,1,Corn,29.3,3839
FIELD_0019,2020,141,Grassland/Herbaceous,66.2,485
FIELD_0019,2021,141,Grassland/Herbaceous,61.9,485
FIELD_0019,2022,141,Grassland/Herbaceous,65.6,485
FIELD_0019,2023,141,Grassland/Herbaceous,63.5,485
FIELD_0022,2020,1,Corn,31.9,2570
FIELD_0022,2021,176,Grass/Pasture,32.5,2570
FIELD_0022,2022,176,Grass/Pasture,36.7,2570
FIELD_0022,2023,176,Grass/Pasture,37.8,2570
FIELD_0023,2020,176,Grass/Pasture,33.5,3402
FIELD_0023,2021,176,Grass/Pasture,29.4,3402
FIELD_0023,2022,1,Corn,31.4,3402
FIELD_0023,2023,176,Grass/Pasture,43.7,3402
FIELD_0024,2020,141,Grassland/Herbaceous,83.7,104
FIELD_0024,2021,141,Grassland/Herbaceous,77.9,104
FIELD_0024,2022,141,Grassland/Herbaceous,74.0,104
FIELD_0024,2023,141,Grassland/Herbaceous,76.9,104
FIELD_0025,2020,1,Corn,71.9,1635
FIELD_0025,2021,5,Soybeans,69.2,1635
FIELD_0025,2022,1,Corn,75.2,1635
FIELD_0025,2023,5,Soybeans,71.2,1635
