mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,0.0,15.0,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,0.0,15.0,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,0.0,15.0,4.0,5.7,0.22,32.0,4.0,64.0,1.28,25.2,FIELD_0001
410340,"Galva silty clay loam, 2 to 5 percent slopes",Galva,95,Well drained,15.0,43.0,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410363,"Galva silty clay loam, terrace, 0 to 2 percent slopes",Galva,95,Well drained,15.0,43.0,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410364,"Galva silty clay loam, terrace, 2 to 5 percent slopes",Galva,95,Well drained,15.0,43.0,3.5,6.5,0.22,33.0,3.0,64.0,1.28,27.3,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,0.0,23.0,2.0,6.2,0.22,29.0,5.0,66.0,1.38,23.5,FIELD_0001
410351,"Radford silty clay loam, 2 to 5 percent slopes",Radford,90,Somewhat poorly drained,23.0,61.0,2.0,6.5,0.21,22.0,7.0,71.0,1.36,18.6,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,0.0,15.0,3.1,5.8,0.22,32.0,5.0,63.0,1.28,25.2,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,15.0,25.0,1.6,6.6,0.22,32.0,5.0,63.0,1.28,27.3,FIELD_0001
410341,"Galva silty clay loam, 5 to 9 percent slopes, eroded",Galva,85,Well drained,25.0,79.0,1.5,7.0,0.19,29.0,5.0,66.0,1.33,24.7,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,0.0,10.0,1.5,7.7,0.23,21.0,7.0,72.0,1.42,16.6,FIELD_0001
410330,"Ida silt loam, 5 to 9 percent slopes, severely eroded",Ida,80,Well drained,10.0,200.0,0.3,8.0,0.21,20.0,6.0,74.0,1.42,15.0,FIELD_0001
